Time,Open,High,Low,Close,Volume
1994.11.27 00:00,1.56150,1.57300,1.55680,1.55970,8505
1994.12.04 00:00,1.56000,1.57060,1.55400,1.56050,7885
1994.12.11 00:00,1.56000,1.56700,1.55610,1.56120,6305
1994.12.18 00:00,1.55950,1.56300,1.53900,1.54700,8075
1994.12.25 00:00,1.54500,1.57700,1.53950,1.56620,12025
1995.01.01 00:00,1.56370,1.56750,1.54750,1.55000,8235
1995.01.08 00:00,1.55100,1.57650,1.55030,1.57050,10125
1995.01.15 00:00,1.56850,1.59220,1.56090,1.58860,9525
1995.01.22 00:00,1.58620,1.60360,1.58400,1.58950,9775
1995.01.29 00:00,1.58800,1.59880,1.55950,1.56400,10305
1995.02.05 00:00,1.56050,1.56730,1.54910,1.56150,9345
1995.02.12 00:00,1.56250,1.59050,1.55140,1.58200,11755
1995.02.19 00:00,1.58140,1.59790,1.57250,1.58900,11895
1995.02.26 00:00,1.57750,1.63330,1.57310,1.63200,16745
1995.03.05 00:00,1.63370,1.66840,1.56350,1.57450,38455
1995.03.12 00:00,1.57550,1.60600,1.57000,1.58370,16825
1995.03.19 00:00,1.58760,1.60180,1.56910,1.59320,15345
1995.03.26 00:00,1.59100,1.63450,1.58900,1.62200,16145
1995.04.02 00:00,1.62430,1.62800,1.59720,1.60780,18075
1995.04.09 00:00,1.60400,1.61800,1.58470,1.60220,16015
1995.04.16 00:00,1.60300,1.62650,1.60060,1.61150,14955
1995.04.23 00:00,1.61200,1.62550,1.59440,1.60920,17325
1995.04.30 00:00,1.61000,1.62500,1.59400,1.59700,11675
1995.05.07 00:00,1.60090,1.61120,1.54610,1.56440,19965
1995.05.14 00:00,1.56350,1.58150,1.55800,1.57150,14525
1995.05.21 00:00,1.56940,1.62130,1.56250,1.60370,17065
1995.05.28 00:00,1.60360,1.60980,1.57740,1.59380,18235
1995.06.04 00:00,1.58950,1.60350,1.58520,1.59300,10635
1995.06.11 00:00,1.59290,1.61850,1.59070,1.60460,12485
1995.06.18 00:00,1.60040,1.61250,1.59200,1.60580,10915
1995.06.25 00:00,1.60450,1.60770,1.56840,1.59570,16045
1995.07.02 00:00,1.59210,1.60530,1.58430,1.59660,11725
1995.07.09 00:00,1.59550,1.60650,1.58500,1.59570,9615
1995.07.16 00:00,1.59390,1.60350,1.58900,1.59560,7565
1995.07.23 00:00,1.59470,1.60500,1.58660,1.60060,8645
1995.07.30 00:00,1.60290,1.61200,1.59390,1.60630,10205
1995.08.06 00:00,1.60470,1.60960,1.56800,1.56940,9895
1995.08.13 00:00,1.56500,1.57970,1.52900,1.53910,17495
1995.08.20 00:00,1.53950,1.55400,1.52980,1.55090,11205
1995.08.27 00:00,1.54980,1.56100,1.53900,1.55750,9855
1995.09.03 00:00,1.55770,1.56230,1.54300,1.55020,8445
1995.09.10 00:00,1.56020,1.56100,1.54200,1.55100,9595
1995.09.17 00:00,1.54500,1.59900,1.54250,1.56940,12935
1995.09.24 00:00,1.57260,1.58570,1.56230,1.58500,9835
1995.10.01 00:00,1.58150,1.59610,1.57390,1.58380,11655
